category,subcategory,product_name,reference_date,vendor_group_name,price,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Eddies Supermarket,12.99,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Fair Deals Supermarkets,12.95,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Jordans Supermarkets,11.65,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Lionel C Hill Supermarket,12.4,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Massy Stores,11.79,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,People's Market,12.71,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Popular Discount Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Price Lo,11.79,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Roxy Supermarket,12.4,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Savings Plus Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Trimart Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Aone Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Channell Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Cherish Supermarket,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Eddies Supermarket,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Fair Deals Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Jordans Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Lionel C Hill Supermarket,29.34,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Massy Stores,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,People's Market,28.15,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Popular Discount Supermarkets,25.99,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Price Lo,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Roxy Supermarket,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Savings Plus Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-08 00:00:00,Trimart Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Aone Supermarkets,29.55,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Channell Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Cherish Supermarket,26.99,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Eddies Supermarket,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Fair Deals Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Jordans Supermarkets,26.99,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Lionel C Hill Supermarket,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Massy Stores,27.65,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,People's Market,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Popular Discount Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Price Lo,25.99,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Roxy Supermarket,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Savings Plus Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 800g ,2025-01-22 00:00:00,Trimart Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 1 Infant Formula 400g,2025-01-08 00:00:00,Aone Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 1 Infant Formula 400g,2025-01-08 00:00:00,Channell Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 1 Infant Formula 400g,2025-01-08 00:00:00,Cherish Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 1 Infant Formula 400g,2025-01-08 00:00:00,Eddies Supermarket,,,,,,,,,,,,,,
Baby,Formula,Nestle Lactogen 1 Infant Formula 400g,2025-01-08 00:00:00,Fair Deals Supermarkets,,,,,,,,,,,,,,
